ec-freq-1,ec-freq-2,plain,ec,ec-ec
1,1,49.5,51.8,51.5
1,5,47.8,52.3,51.5
1,10,50.0,49.1,49.5
1,20,49.4,49.9,49.8
1,50,47.8,49.0,50.9
1,100,49.3,48.7,50.3
1,300,51.1,51.2,46.2
1,500,51.1,47.6,49.7
1,0,51.9,47.8,48.3
5,1,49.7,51.1,50.2
5,5,49.1,55.3,53.3
5,10,48.9,54.3,50.9
5,20,50.1,54.4,52.0
5,50,51.3,53.3,51.6
5,100,50.5,52.8,50.5
5,300,47.7,55.1,51.1
5,500,50.4,54.6,51.8
5,0,53.9,54.1,49.2
10,1,51.7,53.7,50.8
10,5,47.0,54.3,51.9
10,10,48.6,55.3,52.9
10,20,50.8,57.8,52.1
10,50,47.7,54.5,50.5
10,100,48.9,55.1,46.4
10,300,49.4,55.6,50.7
10,500,47.9,56.1,50.3
10,0,51.3,54.2,49.2
20,1,51.5,53.5,48.0
20,5,54.4,55.4,57.6
20,10,46.9,55.5,54.0
20,20,50.8,54.1,51.6
20,50,51.0,56.0,50.0
20,100,49.2,50.2,51.6
20,300,50.6,53.1,49.2
20,500,50.3,53.8,49.6
20,0,50.4,49.2,51.0
50,1,50.7,49.8,50.2
50,5,51.3,52.7,56.6
50,10,51.1,52.8,57.4
50,20,47.7,51.4,51.8
50,50,51.7,53.0,50.3
50,100,50.9,49.0,49.8
50,300,51.0,50.3,49.1
50,500,50.6,49.1,50.5
50,0,50.0,51.5,51.4
100,1,54.3,48.9,51.5
100,5,52.9,51.9,55.4
100,10,50.4,50.2,55.9
100,20,50.8,52.4,53.9
100,50,48.3,51.3,50.5
100,100,51.4,49.3,50.1
100,300,50.8,50.4,51.8
100,500,50.9,51.7,51.3
100,0,48.9,49.7,51.4
300,1,50.2,49.0,48.8
300,5,51.0,52.8,57.0
300,10,49.1,51.5,54.9
300,20,50.3,50.9,53.6
300,50,49.7,51.9,54.2
300,100,50.3,50.5,50.6
300,300,50.0,48.9,50.9
300,500,51.9,51.9,50.2
300,0,50.2,46.9,48.0
500,1,49.1,48.1,47.2
500,5,53.4,51.4,52.0
500,10,49.7,52.2,55.3
500,20,48.9,51.4,56.4
500,50,49.0,50.2,49.2
500,100,49.5,50.8,51.6
500,300,49.4,49.5,51.5
500,500,47.6,53.7,48.6
500,0,45.4,51.6,50.1
0,1,51.3,50.1,50.1
0,5,48.9,49.9,54.6
0,10,51.3,50.5,53.1
0,20,50.2,55.2,51.7
0,50,49.9,51.3,52.7
0,100,51.4,48.9,50.1
0,300,47.7,50.7,51.7
0,500,49.0,51.6,52.6
0,0,49.9,49.6,51.8
