error-probability,plain,ec,ec-ec
0.001,100.0,100.0,100.0
0.005,100.0,99.9,100.0
0.01,99.6,99.9,100.0
0.05,98.1,99.6,99.2
0.1,97.1,98.4,98.1
0.5,86.3,90.9,87.9
1.0,76.7,79.2,76.1
5.0,50.9,51.0,51.5
10.0,52.3,51.9,52.0
