error-probability,plain,ec,ec-ec
0.001,99.7,99.8,100.0
0.005,97.9,99.9,100.0
0.01,94.1,99.6,99.8
0.05,81.3,97.4,98.1
0.1,66.6,93.2,94.1
0.5,52.2,58.0,55.3
1.0,49.6,51.7,49.3
5.0,50.2,48.8,48.8
10.0,49.4,50.9,51.1
