ec-freq-1,ec-freq-2,plain,ec,ec-ec
1,1,89.6,91.1,89.9
1,5,89.7,91.1,98.2
1,10,91.2,89.8,97.4
1,20,90.8,91.2,99.1
1,50,90.4,92.1,98.3
1,100,90.9,90.1,99.3
1,300,90.3,92.2,97.1
1,500,90.8,92.7,97.9
1,0,90.5,90.2,82.7
5,1,91.8,98.0,97.5
5,5,90.4,97.8,99.6
5,10,92.0,97.8,99.3
5,20,89.8,98.2,99.3
5,50,91.6,97.5,99.7
5,100,90.8,98.3,99.7
5,300,91.0,97.9,99.8
5,500,91.8,97.7,99.1
5,0,91.9,96.5,92.3
10,1,90.0,98.2,98.4
10,5,90.8,98.9,99.7
10,10,90.4,99.0,100.0
10,20,91.3,99.6,99.8
10,50,88.4,98.3,99.5
10,100,91.6,99.1,100.0
10,300,90.9,99.3,99.9
10,500,90.1,99.2,99.5
10,0,91.1,98.2,92.9
20,1,92.8,98.7,98.7
20,5,90.7,99.2,99.7
20,10,89.0,99.5,99.8
20,20,88.3,99.6,99.6
20,50,90.5,99.3,99.7
20,100,90.2,99.2,99.9
20,300,90.8,99.5,99.5
20,500,89.9,99.1,99.6
20,0,91.2,99.8,96.1
50,1,90.9,99.7,99.2
50,5,90.1,99.5,99.6
50,10,91.5,99.9,99.8
50,20,89.7,99.4,99.8
50,50,91.0,99.2,99.8
50,100,89.5,99.8,99.6
50,300,90.5,99.6,99.4
50,500,92.0,99.8,99.9
50,0,90.8,99.8,94.7
100,1,90.1,99.7,99.9
100,5,89.5,99.4,99.7
100,10,90.0,99.5,99.9
100,20,91.7,99.5,99.8
100,50,92.3,99.4,99.8
100,100,90.8,99.5,99.9
100,300,91.3,99.4,99.8
100,500,92.0,99.4,99.5
100,0,91.5,99.6,94.5
300,1,89.2,99.3,99.3
300,5,89.9,99.2,100.0
300,10,92.6,99.3,99.8
300,20,91.5,99.4,100.0
300,50,91.5,99.2,100.0
300,100,90.7,99.5,100.0
300,300,90.2,98.8,99.8
300,500,88.6,99.0,99.5
300,0,93.3,99.0,94.5
500,1,92.8,98.9,98.3
500,5,91.8,99.3,99.9
500,10,91.4,98.9,100.0
500,20,89.3,98.6,100.0
500,50,89.1,99.0,99.9
500,100,89.9,98.6,100.0
500,300,90.5,98.9,99.6
500,500,92.3,98.0,100.0
500,0,90.7,98.3,96.7
0,1,90.1,97.7,97.5
0,5,90.4,96.9,99.6
0,10,91.0,97.4,99.9
0,20,90.4,97.3,99.7
0,50,89.7,97.7,99.8
0,100,90.7,97.9,100.0
0,300,90.7,98.2,99.4
0,500,92.6,96.6,99.9
0,0,91.8,97.6,96.2
