circuit-depth,plain,ec,ec-ec
2,99.1,96.6,92.9
4,97.4,97.5,94.6
8,95.4,97.2,91.3
16,93.1,95.7,91.6
32,85.8,92.1,90.2
64,75.3,82.9,91.4
128,60.8,69.6,85.2
256,52.4,54.6,77.0
512,47.8,48.4,61.6
1024,48.7,52.2,55.1
2048,51.7,50.5,49.1
4096,48.3,47.9,50.2
