ec-freq-1,ec-freq-2,plain,ec,ec-ec
1,1,95.3,95.3,94.4
1,5,95.4,95.1,98.9
1,10,96.0,94.3,98.7
1,20,94.5,94.8,99.0
1,50,93.5,95.0,99.8
1,100,95.8,95.1,99.6
1,300,95.1,94.8,99.2
1,500,95.8,94.8,99.0
1,0,93.9,95.6,91.6
5,1,94.6,98.6,98.4
5,5,95.7,99.2,99.4
5,10,95.5,98.3,99.2
5,20,95.5,99.3,99.8
5,50,95.6,98.9,99.8
5,100,94.8,99.0,100.0
5,300,94.5,99.0,99.9
5,500,94.1,98.8,99.6
5,0,95.2,98.9,97.6
10,1,95.0,99.1,99.2
10,5,95.0,98.9,99.6
10,10,95.3,99.6,99.9
10,20,95.3,99.1,100.0
10,50,96.1,99.0,99.8
10,100,96.2,99.6,99.9
10,300,95.5,99.3,99.8
10,500,94.3,99.6,99.9
10,0,95.5,99.8,98.8
20,1,95.3,99.5,99.6
20,5,94.9,99.7,99.9
20,10,94.8,99.8,99.8
20,20,96.5,99.5,99.9
20,50,95.2,99.7,99.9
20,100,95.9,99.7,100.0
20,300,95.2,99.3,99.8
20,500,95.7,99.5,100.0
20,0,95.6,99.4,98.6
50,1,93.4,99.6,99.4
50,5,95.5,99.9,99.7
50,10,94.9,99.6,100.0
50,20,95.1,99.5,100.0
50,50,96.0,99.4,99.7
50,100,95.4,99.5,99.9
50,300,95.6,100.0,99.8
50,500,94.9,99.9,99.6
50,0,95.2,99.7,98.2
100,1,94.0,99.6,99.9
100,5,95.7,99.5,99.7
100,10,95.0,99.9,100.0
100,20,94.8,99.8,99.8
100,50,95.4,99.7,100.0
100,100,95.8,100.0,99.9
100,300,94.4,99.8,100.0
100,500,95.3,99.8,99.4
100,0,95.0,99.8,98.3
300,1,95.2,99.5,99.5
300,5,95.0,99.3,99.8
300,10,95.6,99.7,99.9
300,20,95.8,99.5,99.9
300,50,94.0,99.5,99.8
300,100,94.9,99.5,99.9
300,300,95.6,99.6,100.0
300,500,95.0,99.6,99.4
300,0,94.2,99.7,98.3
500,1,94.5,99.3,99.4
500,5,95.6,99.8,99.5
500,10,95.1,98.9,99.5
500,20,94.6,99.5,99.9
500,50,95.6,99.2,99.8
500,100,95.6,98.9,99.6
500,300,95.2,99.2,99.9
500,500,94.9,99.5,99.9
500,0,95.3,99.5,98.5
0,1,95.7,99.0,98.8
0,5,96.1,99.5,99.9
0,10,95.4,99.9,99.6
0,20,95.2,99.0,100.0
0,50,94.6,99.0,100.0
0,100,95.0,99.5,99.8
0,300,95.6,99.4,99.9
0,500,95.8,99.4,100.0
0,0,95.5,99.0,98.8
