ec-freq-1,ec-freq-2,plain,ec,ec-ec
1,1,85.9,78.7,61.1
1,5,85.4,78.1,68.5
1,10,86.3,80.2,67.3
1,20,86.0,80.0,64.0
1,50,83.5,77.5,61.9
1,100,86.8,77.2,65.9
1,300,84.8,79.1,62.2
1,500,84.6,79.6,64.8
1,0,88.6,80.0,62.5
5,1,88.1,88.2,71.3
5,5,86.5,85.6,76.2
5,10,87.5,87.1,75.3
5,20,86.7,86.9,79.2
5,50,86.2,87.0,75.6
5,100,86.3,87.8,75.6
5,300,84.2,88.2,74.5
5,500,85.9,86.6,76.6
5,0,87.2,86.7,75.3
10,1,87.1,88.7,74.5
10,5,87.3,87.2,83.6
10,10,85.3,88.5,80.5
10,20,86.0,88.3,77.0
10,50,86.1,88.2,77.0
10,100,85.0,88.1,76.6
10,300,84.4,88.4,75.1
10,500,85.1,88.9,78.8
10,0,85.5,87.3,76.4
20,1,86.0,87.3,73.5
20,5,87.0,87.2,82.8
20,10,87.5,88.4,81.5
20,20,85.8,87.2,82.6
20,50,86.5,87.6,79.2
20,100,87.2,88.4,81.1
20,300,85.0,88.4,77.1
20,500,86.8,87.7,78.3
20,0,86.2,87.6,79.5
50,1,85.0,89.2,74.7
50,5,85.2,88.9,84.3
50,10,86.9,87.5,82.8
50,20,83.9,87.8,81.6
50,50,85.1,88.2,81.0
50,100,87.6,88.5,75.8
50,300,86.7,88.9,79.7
50,500,85.2,87.1,79.0
50,0,86.1,88.6,80.6
100,1,86.5,87.0,77.1
100,5,85.8,88.0,84.4
100,10,85.4,89.0,82.1
100,20,86.0,88.2,79.4
100,50,84.0,88.9,79.7
100,100,86.6,89.4,79.0
100,300,84.9,89.1,78.0
100,500,86.2,87.6,77.1
100,0,84.8,89.0,77.9
300,1,87.3,88.7,74.6
300,5,87.2,86.6,83.1
300,10,88.6,87.5,83.6
300,20,86.6,88.0,82.2
300,50,86.0,88.3,81.3
300,100,87.0,88.5,78.4
300,300,86.4,88.0,79.5
300,500,83.9,88.0,78.2
300,0,86.5,89.0,79.9
500,1,86.4,87.7,75.0
500,5,87.8,88.5,83.7
500,10,86.3,88.6,84.0
500,20,85.1,87.3,79.1
500,50,88.5,89.0,83.5
500,100,85.0,87.6,77.9
500,300,86.3,90.8,77.1
500,500,87.3,89.8,78.3
500,0,85.2,89.2,79.2
0,1,87.0,89.5,77.4
0,5,85.9,88.9,85.2
0,10,86.5,88.8,83.0
0,20,86.3,90.2,81.7
0,50,86.1,90.0,81.9
0,100,87.3,89.4,81.0
0,300,87.3,87.6,77.5
0,500,86.4,89.5,79.0
0,0,86.4,90.6,78.9
