ec-freq-1,ec-freq-2,plain,ec,ec-ec
1,1,48.6,51.4,47.9
1,5,49.9,47.2,49.6
1,10,51.6,46.9,49.9
1,20,49.8,49.3,48.6
1,50,50.0,49.1,50.5
1,100,48.8,50.8,48.4
1,300,48.2,48.2,49.5
1,500,51.1,51.3,52.2
1,0,52.6,48.2,49.6
5,1,48.1,48.0,48.3
5,5,48.9,52.2,50.8
5,10,51.3,50.3,50.4
5,20,49.5,49.3,49.5
5,50,50.5,53.8,48.9
5,100,47.4,54.7,48.6
5,300,47.4,50.5,51.0
5,500,50.6,49.4,49.1
5,0,51.0,50.6,50.4
10,1,48.6,49.9,49.2
10,5,52.1,47.8,49.6
10,10,47.8,50.6,50.8
10,20,51.4,51.5,50.6
10,50,50.7,50.6,50.5
10,100,49.2,48.1,47.5
10,300,49.9,49.2,49.5
10,500,52.2,48.5,50.7
10,0,48.5,50.3,51.2
20,1,51.8,47.2,50.0
20,5,51.7,48.1,52.3
20,10,52.5,50.2,47.0
20,20,50.9,51.9,50.8
20,50,46.5,49.9,49.7
20,100,50.9,48.0,49.3
20,300,50.6,48.5,51.4
20,500,48.7,48.4,54.2
20,0,51.9,50.7,51.1
50,1,48.6,50.7,50.3
50,5,50.2,50.2,50.0
50,10,52.1,53.3,49.1
50,20,48.6,48.9,47.3
50,50,48.6,51.3,46.5
50,100,51.0,47.9,50.2
50,300,48.8,51.1,53.6
50,500,49.1,45.4,50.1
50,0,51.8,49.2,50.1
100,1,53.3,50.6,49.9
100,5,47.2,50.9,49.7
100,10,50.8,50.7,49.1
100,20,47.9,48.2,51.0
100,50,47.7,51.5,51.4
100,100,47.1,49.2,48.7
100,300,50.0,51.4,48.6
100,500,50.8,50.2,50.2
100,0,47.7,52.0,50.5
300,1,52.3,50.3,52.6
300,5,49.2,46.6,50.2
300,10,52.2,49.3,52.4
300,20,51.6,45.7,47.9
300,50,49.7,48.6,50.6
300,100,52.2,50.6,53.2
300,300,48.6,50.4,51.5
300,500,53.0,49.3,52.1
300,0,49.8,48.5,49.0
500,1,48.5,50.9,48.1
500,5,50.4,51.1,50.7
500,10,50.0,48.0,48.8
500,20,48.9,51.3,50.9
500,50,48.6,50.1,52.0
500,100,52.4,49.8,48.7
500,300,48.8,48.3,48.7
500,500,49.8,51.6,48.1
500,0,47.7,49.1,48.7
0,1,50.7,50.4,50.0
0,5,48.7,49.6,48.7
0,10,48.7,51.3,49.0
0,20,51.6,50.6,48.6
0,50,47.0,47.4,52.9
0,100,49.0,48.7,50.8
0,300,50.9,50.8,50.1
0,500,48.7,48.7,52.4
0,0,48.8,53.4,47.8
