error-probability,plain,ec,ec-ec
0.001,100.0,100.0,100.0
0.005,99.9,100.0,99.9
0.01,99.8,99.9,100.0
0.05,98.7,99.6,99.2
0.1,96.5,99.1,99.0
0.5,86.6,92.2,90.2
1.0,77.2,83.1,78.7
5.0,51.7,49.3,50.4
10.0,51.9,52.7,52.2
