error-probability,plain,ec,ec-ec
0.001,98.5,100.0,99.8
0.005,95.0,99.5,99.9
0.01,91.8,97.4,99.9
0.05,71.7,76.6,98.4
0.1,57.2,57.5,93.8
0.5,49.7,51.3,51.9
1.0,49.9,52.1,49.9
5.0,49.8,50.1,50.2
10.0,50.0,52.5,49.7
