error-probability,plain,ec,ec-ec
0.001,99.8,100.0,99.9
0.005,98.9,99.9,100.0
0.01,97.9,99.8,99.8
0.05,88.2,98.8,98.4
0.1,79.4,96.5,96.6
0.5,54.1,65.7,65.0
1.0,49.2,53.8,50.8
5.0,49.1,51.9,51.1
10.0,49.8,48.9,48.3
