ec-freq-1,ec-freq-2,plain,ec,ec-ec
1,1,80.0,78.2,74.1
1,5,78.7,78.6,89.4
1,10,79.8,77.8,90.5
1,20,80.2,79.3,91.1
1,50,81.3,81.3,88.9
1,100,80.8,77.6,85.6
1,300,77.4,79.3,79.9
1,500,82.7,80.0,78.4
1,0,79.7,78.9,61.7
5,1,78.8,93.1,90.8
5,5,81.1,96.3,95.8
5,10,79.3,93.9,96.5
5,20,80.4,94.9,96.1
5,50,80.5,92.6,96.2
5,100,80.8,94.3,95.0
5,300,79.0,92.3,89.8
5,500,80.6,93.0,90.6
5,0,80.7,93.7,77.6
10,1,79.8,95.5,93.9
10,5,80.8,95.0,98.2
10,10,80.3,95.6,97.3
10,20,80.8,95.6,97.6
10,50,80.5,95.7,95.2
10,100,79.2,96.3,95.8
10,300,79.0,96.6,93.7
10,500,81.9,96.1,90.3
10,0,80.8,95.7,80.6
20,1,79.5,97.2,93.6
20,5,80.7,96.2,98.2
20,10,78.8,96.9,98.2
20,20,79.8,96.1,98.3
20,50,81.0,96.5,95.6
20,100,79.9,95.9,96.1
20,300,80.5,96.8,92.6
20,500,78.7,97.2,91.5
20,0,80.5,96.0,79.8
50,1,82.2,93.9,93.6
50,5,79.7,94.5,97.7
50,10,78.7,94.0,98.4
50,20,78.7,95.2,98.6
50,50,81.4,95.9,97.2
50,100,80.5,95.7,94.8
50,300,79.2,95.7,91.1
50,500,79.0,95.2,92.1
50,0,82.2,95.8,82.4
100,1,80.8,93.5,91.4
100,5,79.4,93.8,97.2
100,10,79.3,93.7,98.0
100,20,78.8,92.4,97.7
100,50,78.6,93.0,98.8
100,100,81.3,93.1,97.0
100,300,79.8,93.8,90.7
100,500,80.0,94.6,87.1
100,0,80.3,94.0,84.8
300,1,79.2,88.7,89.0
300,5,79.8,88.2,97.7
300,10,80.1,88.6,97.8
300,20,79.1,88.6,98.3
300,50,80.0,91.4,96.8
300,100,81.2,90.3,96.5
300,300,78.8,88.9,84.8
300,500,79.6,88.2,90.2
300,0,82.0,91.5,83.8
500,1,82.4,90.5,88.8
500,5,81.3,88.2,98.0
500,10,79.8,91.0,98.1
500,20,82.1,88.6,98.2
500,50,81.3,87.9,97.3
500,100,79.4,89.7,96.3
500,300,82.0,90.3,84.6
500,500,80.1,88.3,89.7
500,0,80.6,88.3,83.2
0,1,79.8,87.4,88.5
0,5,80.3,87.6,97.1
0,10,81.3,89.8,98.7
0,20,79.7,89.3,97.7
0,50,78.8,88.6,98.2
0,100,81.1,88.9,97.4
0,300,80.6,89.3,92.4
0,500,81.9,88.4,89.8
0,0,78.3,88.9,85.0
