error-probability,plain,ec,ec-ec
0.001,100.0,100.0,100.0
0.005,99.7,100.0,99.9
0.01,99.5,99.8,99.7
0.05,97.2,99.1,99.4
0.1,95.6,98.5,98.8
0.5,75.9,83.8,89.7
1.0,63.4,66.3,73.4
5.0,47.8,53.9,48.1
10.0,49.4,50.3,51.0
