circuit-depth,plain,ec,ec-ec
2,97.6,93.4,86.0
4,96.6,92.7,83.1
8,91.4,91.7,83.6
16,84.1,88.1,75.7
32,77.1,82.9,74.4
64,65.8,69.2,64.9
128,53.9,59.3,56.3
256,50.3,52.4,50.1
512,51.4,51.2,52.1
1024,52.5,49.4,51.1
2048,49.4,49.5,47.0
4096,50.2,49.9,51.5
