error-probability,plain,ec,ec-ec
0.001,97.9,99.9,100.0
0.005,90.8,97.5,99.8
0.01,84.2,92.9,99.7
0.05,57.4,60.5,96.0
0.1,49.8,49.5,85.9
0.5,50.7,50.6,52.0
1.0,49.4,52.2,50.1
5.0,50.6,48.5,48.3
10.0,51.7,51.2,47.5
