circuit-depth,plain,ec,ec-ec
2,99.9,99.7,98.3
4,99.3,99.1,98.2
8,99.6,99.0,98.3
16,98.4,99.1,99.1
32,97.4,98.7,97.8
64,93.8,98.3,98.3
128,89.9,96.2,98.9
256,79.1,89.6,97.7
512,67.6,76.2,97.8
1024,55.5,60.4,95.3
2048,49.9,51.2,85.7
4096,49.2,50.8,72.1
