error-probability,plain,ec,ec-ec
0.001,100.0,100.0,100.0
0.005,99.6,99.8,99.9
0.01,99.6,100.0,100.0
0.05,96.8,99.2,99.5
0.1,93.5,98.1,98.3
0.5,77.0,86.3,84.3
1.0,62.1,71.8,63.0
5.0,51.6,48.6,53.2
10.0,50.5,53.0,51.1
