ec-freq-1,ec-freq-2,plain,ec,ec-ec
1,1,50.8,50.5,48.9
1,5,51.4,48.0,49.8
1,10,47.0,52.8,50.5
1,20,50.4,50.0,49.1
1,50,48.3,52.7,50.0
1,100,49.7,50.5,48.7
1,300,49.9,52.0,47.7
1,500,50.3,48.3,50.2
1,0,49.8,50.3,52.6
5,1,48.5,52.3,51.5
5,5,50.4,50.1,48.9
5,10,48.2,51.3,48.5
5,20,53.4,48.7,51.6
5,50,49.6,49.6,50.3
5,100,52.1,50.3,49.8
5,300,49.6,50.4,50.6
5,500,51.0,49.9,50.2
5,0,51.5,49.8,48.8
10,1,51.1,50.1,50.1
10,5,48.8,49.6,48.5
10,10,49.6,49.8,47.3
10,20,50.1,49.5,51.8
10,50,47.4,51.8,51.5
10,100,51.2,50.7,49.0
10,300,47.5,52.4,51.3
10,500,47.2,49.4,50.2
10,0,52.6,46.7,46.4
20,1,47.8,51.6,52.8
20,5,48.5,52.5,52.3
20,10,50.6,53.9,50.9
20,20,49.6,50.5,50.4
20,50,53.2,49.5,53.0
20,100,48.5,50.3,53.5
20,300,50.6,48.2,50.6
20,500,50.7,51.8,49.6
20,0,50.2,50.0,50.6
50,1,48.4,49.5,50.5
50,5,48.1,52.2,50.6
50,10,51.6,49.3,51.9
50,20,49.3,50.4,49.4
50,50,49.9,51.7,46.3
50,100,49.4,49.2,48.2
50,300,48.8,50.3,47.3
50,500,49.0,51.5,51.8
50,0,46.2,51.4,50.5
100,1,47.8,49.6,52.7
100,5,51.4,47.3,52.0
100,10,48.5,51.0,50.1
100,20,52.0,51.3,50.4
100,50,53.3,48.8,51.1
100,100,49.7,47.4,54.2
100,300,47.9,49.3,48.9
100,500,49.5,52.1,49.2
100,0,49.6,49.2,51.0
300,1,48.2,51.3,50.7
300,5,52.7,46.1,50.0
300,10,48.5,51.7,51.5
300,20,51.1,48.9,51.2
300,50,50.7,49.4,50.9
300,100,50.1,49.2,50.6
300,300,51.1,50.9,49.7
300,500,50.0,50.3,47.8
300,0,49.7,51.7,48.4
500,1,49.9,50.8,47.0
500,5,49.1,48.5,48.6
500,10,49.9,47.4,49.4
500,20,51.7,49.9,49.7
500,50,51.8,51.5,49.8
500,100,50.0,50.1,49.3
500,300,48.1,50.0,47.3
500,500,49.7,50.1,47.7
500,0,52.1,51.5,49.6
0,1,46.9,49.4,50.1
0,5,46.8,52.2,48.4
0,10,49.3,48.0,47.0
0,20,47.5,52.0,50.5
0,50,49.6,50.1,50.0
0,100,50.7,48.3,50.6
0,300,49.4,51.0,52.1
0,500,46.7,51.3,50.2
0,0,52.0,51.5,46.6
