error-probability,plain,ec,ec-ec
0.001,99.9,100.0,100.0
0.005,98.9,100.0,100.0
0.01,97.4,99.7,99.6
0.05,88.7,95.7,98.6
0.1,80.2,89.6,98.4
0.5,51.6,51.9,78.4
1.0,52.9,46.3,57.5
5.0,50.8,50.8,49.6
10.0,49.2,50.8,50.9
