circuit-depth,plain,ec,ec-ec
2,98.9,96.7,92.9
4,97.8,97.3,91.2
8,96.3,95.7,91.8
16,90.7,94.2,90.3
32,89.0,91.4,89.2
64,75.2,85.2,84.5
128,66.8,76.8,77.6
256,50.7,68.5,64.3
512,50.3,55.7,53.7
1024,49.4,51.2,48.5
2048,48.3,49.6,49.2
4096,54.2,53.8,50.6
