error-probability,plain,ec,ec-ec
0.001,99.3,100.0,100.0
0.005,96.9,100.0,99.8
0.01,95.0,99.0,100.0
0.05,79.1,87.1,99.6
0.1,66.5,75.7,97.2
0.5,50.6,51.8,61.8
1.0,50.9,50.7,52.3
5.0,50.3,50.5,52.5
10.0,44.5,52.1,52.2
