ec-freq-1,ec-freq-2,plain,ec,ec-ec
1,1,68.2,64.7,62.6
1,5,69.7,69.4,83.6
1,10,69.4,69.2,83.6
1,20,67.9,66.0,82.4
1,50,68.9,67.6,82.1
1,100,68.9,69.3,78.0
1,300,67.1,67.4,67.7
1,500,67.8,62.9,65.7
1,0,69.0,66.1,52.1
5,1,67.5,88.2,82.5
5,5,66.9,89.0,94.8
5,10,70.4,89.6,93.4
5,20,66.5,89.1,93.9
5,50,67.8,89.1,93.7
5,100,67.1,89.1,88.2
5,300,67.4,88.2,84.9
5,500,65.6,89.5,80.9
5,0,66.7,87.7,62.1
10,1,67.5,91.7,89.8
10,5,67.9,93.7,96.0
10,10,66.9,92.1,96.9
10,20,69.0,92.9,96.8
10,50,67.7,92.2,90.5
10,100,68.4,91.7,91.5
10,300,67.6,92.4,84.6
10,500,68.0,92.5,82.5
10,0,67.6,91.5,65.5
20,1,65.2,95.2,92.0
20,5,69.9,94.9,96.5
20,10,69.9,94.3,97.0
20,20,68.4,92.7,97.3
20,50,68.5,94.7,92.0
20,100,70.3,93.6,92.2
20,300,67.0,92.9,85.8
20,500,69.0,94.1,86.4
20,0,70.4,93.6,65.9
50,1,66.8,92.8,88.7
50,5,65.1,90.7,96.9
50,10,67.2,89.5,96.7
50,20,68.4,90.3,97.8
50,50,68.1,92.2,97.4
50,100,69.6,91.2,92.2
50,300,69.6,91.6,84.2
50,500,65.3,90.1,82.4
50,0,67.4,91.8,66.2
100,1,67.0,88.9,85.5
100,5,69.1,88.0,96.6
100,10,70.3,89.3,98.3
100,20,68.0,88.0,97.4
100,50,66.6,86.6,96.0
100,100,66.2,87.3,95.3
100,300,68.3,88.3,86.4
100,500,69.8,87.9,80.7
100,0,68.2,88.3,67.3
300,1,70.2,79.2,81.0
300,5,66.5,78.1,96.3
300,10,67.1,78.5,98.3
300,20,68.4,82.0,96.9
300,50,72.2,80.7,96.5
300,100,66.0,80.0,93.8
300,300,66.9,80.3,81.7
300,500,67.6,82.9,83.2
300,0,70.9,80.6,72.2
500,1,68.0,73.9,75.4
500,5,66.1,74.2,94.5
500,10,70.3,78.6,97.8
500,20,71.2,77.4,98.2
500,50,71.0,74.3,96.0
500,100,66.0,75.4,93.6
500,300,66.9,76.5,82.3
500,500,68.0,75.0,82.5
500,0,70.8,76.2,73.4
0,1,66.1,77.0,72.2
0,5,67.9,76.1,95.5
0,10,66.2,72.4,97.1
0,20,69.7,76.3,97.5
0,50,68.0,77.2,96.7
0,100,67.6,74.5,94.5
0,300,68.6,76.7,86.5
0,500,68.3,76.9,86.9
0,0,69.4,77.7,73.8
