ec-freq-1,ec-freq-2,plain,ec,ec-ec
1,1,88.7,87.2,85.7
1,5,86.0,88.1,94.2
1,10,88.8,85.5,94.0
1,20,87.9,88.7,94.3
1,50,88.3,89.4,93.5
1,100,90.3,86.8,92.3
1,300,89.1,89.4,89.3
1,500,89.1,88.4,89.0
1,0,89.8,88.0,76.0
5,1,89.2,96.9,94.6
5,5,86.5,97.3,97.8
5,10,90.5,96.2,96.8
5,20,87.1,97.7,97.9
5,50,88.8,96.6,97.4
5,100,89.1,96.7,97.0
5,300,88.1,95.5,95.2
5,500,89.1,97.2,96.3
5,0,89.6,96.6,89.1
10,1,89.4,97.4,96.0
10,5,87.2,97.7,97.9
10,10,88.3,97.2,97.6
10,20,88.4,98.4,97.3
10,50,87.1,97.6,96.3
10,100,86.5,96.7,95.7
10,300,89.2,97.2,95.1
10,500,89.0,97.8,95.3
10,0,89.3,97.7,89.1
20,1,89.1,97.2,95.6
20,5,89.1,97.0,98.8
20,10,88.6,97.3,98.1
20,20,88.9,98.0,98.4
20,50,88.3,97.5,97.5
20,100,88.5,98.4,96.9
20,300,88.4,98.6,95.3
20,500,88.9,97.5,95.3
20,0,87.8,97.4,91.2
50,1,87.9,97.7,95.6
50,5,89.3,97.3,97.2
50,10,87.7,97.6,98.4
50,20,89.7,97.0,98.5
50,50,90.3,97.8,98.0
50,100,89.1,97.8,96.8
50,300,88.7,98.1,95.4
50,500,90.0,97.9,95.6
50,0,89.4,97.9,92.8
100,1,89.4,97.1,93.8
100,5,88.9,96.5,98.1
100,10,88.5,96.6,98.5
100,20,89.2,96.7,98.9
100,50,88.0,95.9,97.9
100,100,88.7,97.1,97.6
100,300,87.5,95.8,95.5
100,500,88.2,97.4,95.4
100,0,88.4,97.0,90.7
300,1,87.0,96.0,94.0
300,5,90.2,96.5,99.0
300,10,88.4,95.0,97.9
300,20,88.0,96.4,97.8
300,50,89.7,96.5,97.7
300,100,89.5,95.7,95.0
300,300,89.1,96.4,93.5
300,500,87.4,95.7,93.3
300,0,89.6,95.6,95.0
500,1,90.4,95.7,93.9
500,5,89.9,95.0,99.3
500,10,88.4,95.9,98.1
500,20,88.2,95.6,97.9
500,50,88.3,96.0,98.1
500,100,89.0,96.3,95.0
500,300,88.6,95.9,93.2
500,500,88.0,95.0,93.8
500,0,86.0,95.2,92.9
0,1,88.8,96.4,94.0
0,5,87.5,95.2,97.7
0,10,89.7,95.0,99.5
0,20,87.9,95.1,98.1
0,50,89.5,96.0,98.3
0,100,89.3,95.4,97.6
0,300,87.1,95.7,96.6
0,500,88.4,95.8,92.3
0,0,89.7,96.5,94.3
