error-probability,plain,ec,ec-ec
0.001,98.9,100.0,100.0
0.005,96.3,99.6,99.9
0.01,89.6,99.3,100.0
0.05,67.2,94.8,96.8
0.1,54.9,87.1,87.7
0.5,49.7,49.1,52.0
1.0,50.8,48.1,52.2
5.0,49.8,50.6,50.1
10.0,49.0,44.7,46.4
