ec-freq-1,ec-freq-2,plain,ec,ec-ec
1,1,56.0,56.4,52.6
1,5,55.2,53.9,71.8
1,10,59.1,57.7,71.5
1,20,55.7,56.8,73.6
1,50,55.2,57.0,69.6
1,100,57.8,57.4,62.6
1,300,57.3,56.8,54.2
1,500,55.6,55.1,53.7
1,0,55.6,57.7,51.6
5,1,55.6,81.3,74.7
5,5,55.3,80.7,90.4
5,10,55.0,81.5,91.0
5,20,58.9,82.4,86.7
5,50,54.8,81.6,87.4
5,100,57.4,79.7,85.1
5,300,56.1,83.2,69.7
5,500,57.2,81.5,64.8
5,0,54.9,79.9,52.5
10,1,54.7,86.1,80.2
10,5,57.4,87.2,94.9
10,10,56.5,86.0,94.7
10,20,55.3,85.0,93.2
10,50,56.4,86.4,87.3
10,100,55.9,88.1,84.9
10,300,57.5,85.5,76.2
10,500,60.2,85.6,72.7
10,0,56.6,84.6,51.9
20,1,59.5,88.9,80.8
20,5,56.1,88.9,95.5
20,10,54.3,89.1,95.9
20,20,55.6,87.1,96.1
20,50,57.9,89.5,90.1
20,100,58.4,88.9,85.4
20,300,59.3,88.5,77.4
20,500,54.1,88.2,70.1
20,0,56.9,88.3,54.7
50,1,56.0,85.3,81.2
50,5,57.7,84.4,96.1
50,10,55.2,86.0,97.1
50,20,55.3,85.8,97.5
50,50,58.4,85.1,95.0
50,100,56.3,85.4,86.0
50,300,56.7,83.7,79.4
50,500,55.7,84.6,69.4
50,0,55.1,84.1,54.2
100,1,57.7,79.9,75.4
100,5,57.3,78.1,95.8
100,10,55.8,76.6,96.6
100,20,56.4,78.7,97.5
100,50,56.9,78.9,96.0
100,100,55.4,78.5,92.6
100,300,52.2,79.9,76.9
100,500,56.3,79.0,66.1
100,0,57.0,81.4,55.8
300,1,55.1,68.7,65.6
300,5,56.8,65.0,94.0
300,10,55.0,68.0,96.1
300,20,54.9,65.3,96.0
300,50,57.5,67.0,94.0
300,100,56.5,67.4,91.7
300,300,57.9,71.1,67.9
300,500,58.3,68.2,66.1
300,0,55.7,66.7,54.1
500,1,55.8,62.7,63.1
500,5,56.6,60.1,93.3
500,10,53.7,64.5,96.5
500,20,57.5,66.2,95.8
500,50,55.0,61.7,94.4
500,100,54.9,66.4,88.8
500,300,57.2,66.1,64.9
500,500,57.6,64.1,69.9
500,0,56.4,62.3,56.3
0,1,57.5,60.5,59.2
0,5,53.4,58.5,88.3
0,10,57.1,58.7,93.9
0,20,58.9,58.5,96.3
0,50,56.8,58.8,93.1
0,100,54.3,60.8,86.7
0,300,58.9,60.2,72.1
0,500,57.3,60.3,67.6
0,0,57.6,60.1,58.7
