ec-freq-1,ec-freq-2,plain,ec,ec-ec
1,1,50.7,53.4,51.0
1,5,51.2,49.8,49.2
1,10,49.3,51.5,52.6
1,20,53.8,52.4,50.5
1,50,57.0,52.7,52.7
1,100,57.5,51.3,49.6
1,300,53.4,54.9,51.0
1,500,53.1,51.6,50.1
1,0,55.0,50.4,49.8
5,1,54.3,62.1,49.4
5,5,54.9,60.0,57.7
5,10,56.7,60.7,52.8
5,20,55.6,60.5,50.8
5,50,51.8,60.2,49.9
5,100,51.9,62.7,52.9
5,300,51.1,61.6,50.0
5,500,53.4,62.2,49.4
5,0,51.8,63.7,47.0
10,1,50.7,62.7,52.6
10,5,54.6,62.4,63.1
10,10,54.4,64.8,55.2
10,20,54.4,63.2,55.4
10,50,56.4,62.2,55.2
10,100,52.4,63.2,51.7
10,300,55.3,63.9,53.4
10,500,54.3,61.9,51.7
10,0,53.1,65.3,50.7
20,1,53.5,61.4,51.2
20,5,51.2,62.6,65.7
20,10,53.2,60.6,63.5
20,20,53.6,61.1,59.1
20,50,52.1,60.8,53.5
20,100,52.3,60.5,54.5
20,300,55.3,63.2,52.7
20,500,56.8,59.7,53.0
20,0,52.9,64.4,53.4
50,1,54.5,54.8,52.5
50,5,53.3,59.0,61.5
50,10,52.0,57.1,63.7
50,20,53.9,57.5,57.0
50,50,52.6,59.6,54.0
50,100,55.1,58.1,54.1
50,300,51.0,57.7,52.7
50,500,52.2,57.5,52.5
50,0,52.5,56.5,52.2
100,1,54.8,55.8,51.1
100,5,53.3,55.0,61.9
100,10,54.3,54.9,64.1
100,20,54.9,55.7,64.3
100,50,51.4,55.8,60.4
100,100,50.4,56.0,55.3
100,300,54.4,54.7,52.9
100,500,51.8,56.1,51.7
100,0,54.0,54.5,54.3
300,1,52.9,53.6,50.7
300,5,53.2,57.3,64.2
300,10,51.2,52.7,62.8
300,20,53.1,55.1,60.4
300,50,54.8,52.6,57.8
300,100,54.1,53.2,53.7
300,300,54.2,56.1,50.8
300,500,54.5,54.5,52.7
300,0,55.9,57.4,53.1
500,1,53.3,53.3,53.1
500,5,51.8,58.9,64.2
500,10,55.3,58.2,63.3
500,20,55.9,54.6,59.9
500,50,53.5,55.4,55.8
500,100,51.2,56.5,53.6
500,300,54.8,54.1,53.8
500,500,52.9,54.4,53.5
500,0,52.9,54.2,55.8
0,1,54.6,52.5,55.3
0,5,55.2,56.8,64.9
0,10,53.4,54.7,65.2
0,20,55.9,57.4,66.1
0,50,55.1,55.8,59.2
0,100,53.6,54.3,54.7
0,300,55.4,54.3,52.2
0,500,55.4,54.6,56.4
0,0,52.7,54.3,52.3
