circuit-depth,plain,ec,ec-ec
2,90.8,74.4,57.3
4,81.7,72.0,62.4
8,71.6,64.3,54.7
16,59.1,55.7,51.5
32,52.7,50.3,49.9
64,49.0,49.5,49.2
128,52.7,50.3,51.1
256,51.7,50.7,50.9
512,50.7,51.9,49.7
1024,51.2,49.0,50.1
2048,51.8,49.3,50.4
4096,51.1,49.6,49.7
