circuit-depth,plain,ec,ec-ec
2,97.9,94.0,87.9
4,96.5,93.6,86.5
8,92.6,92.0,84.0
16,85.5,87.7,87.1
32,75.5,81.4,78.6
64,62.8,66.7,76.3
128,54.8,56.3,66.2
256,50.5,51.7,52.5
512,50.5,48.5,52.4
1024,47.1,47.1,50.7
2048,49.4,50.4,47.3
4096,52.2,49.7,51.1
