error-probability,plain,ec,ec-ec
0.001,99.9,100.0,100.0
0.005,98.9,100.0,100.0
0.01,98.8,99.6,99.9
0.05,94.4,98.7,99.2
0.1,89.5,97.4,97.4
0.5,64.0,76.2,75.0
1.0,53.0,59.8,56.9
5.0,51.2,51.9,47.9
10.0,47.3,47.4,49.7
