error-probability,plain,ec,ec-ec
0.001,99.8,100.0,100.0
0.005,99.3,100.0,100.0
0.01,98.8,99.9,99.8
0.05,94.1,99.0,99.6
0.1,90.2,95.2,98.4
0.5,65.0,71.6,86.7
1.0,53.3,56.3,64.0
5.0,49.8,51.5,47.9
10.0,51.0,48.8,51.7
