error-probability,plain,ec,ec-ec
0.001,95.8,99.8,100.0
0.005,82.4,99.0,99.8
0.01,71.7,98.5,99.2
0.05,50.0,87.5,88.8
0.1,47.0,66.5,70.8
0.5,48.7,49.4,50.4
1.0,49.8,53.1,53.6
5.0,49.9,48.2,49.8
10.0,51.3,50.3,48.1
