circuit-depth,plain,ec,ec-ec
2,88.6,73.1,55.8
4,82.4,65.6,56.3
8,70.2,62.4,53.5
16,59.3,56.1,52.4
32,51.0,51.1,51.2
64,50.0,49.5,50.2
128,48.2,52.6,50.0
256,49.4,48.7,51.1
512,48.8,51.9,50.2
1024,52.6,52.0,49.5
2048,50.1,49.2,49.3
4096,50.9,50.8,51.6
