ec-freq-1,ec-freq-2,plain,ec,ec-ec
1,1,96.2,97.6,97.3
1,5,97.1,97.8,99.2
1,10,96.5,97.0,99.4
1,20,97.8,98.1,99.3
1,50,97.4,97.3,99.6
1,100,96.9,97.3,99.5
1,300,98.0,97.4,99.7
1,500,98.4,97.0,99.5
1,0,97.5,97.3,97.0
5,1,97.3,99.6,99.2
5,5,97.2,99.3,99.7
5,10,97.5,99.4,99.9
5,20,97.6,99.6,99.7
5,50,97.8,99.6,99.8
5,100,98.3,99.5,100.0
5,300,98.3,99.5,99.9
5,500,96.9,99.4,99.8
5,0,97.2,99.6,99.2
10,1,97.7,99.8,99.5
10,5,97.3,99.5,99.9
10,10,97.0,99.7,99.9
10,20,98.5,99.6,99.9
10,50,97.1,99.6,99.9
10,100,98.0,99.8,99.9
10,300,97.0,99.3,99.7
10,500,97.7,99.7,99.8
10,0,97.8,100.0,98.9
20,1,97.6,99.5,99.5
20,5,97.9,99.8,99.9
20,10,96.9,99.9,99.6
20,20,97.6,100.0,99.9
20,50,96.7,100.0,99.9
20,100,97.7,99.6,100.0
20,300,98.0,99.7,100.0
20,500,97.5,100.0,99.8
20,0,96.9,99.7,99.0
50,1,97.1,99.8,99.9
50,5,97.5,100.0,99.9
50,10,97.5,100.0,99.9
50,20,98.7,99.8,99.9
50,50,97.1,100.0,99.8
50,100,96.9,100.0,99.9
50,300,97.4,100.0,99.7
50,500,98.1,99.8,99.8
50,0,97.4,99.9,99.5
100,1,97.5,99.9,99.4
100,5,97.6,99.8,99.8
100,10,97.8,99.6,100.0
100,20,97.8,100.0,99.9
100,50,98.6,99.9,99.9
100,100,96.7,99.7,99.8
100,300,97.0,100.0,99.5
100,500,97.4,99.9,99.7
100,0,96.8,99.7,99.3
300,1,97.8,99.7,99.6
300,5,98.0,99.9,100.0
300,10,96.6,99.7,99.9
300,20,97.8,99.9,99.8
300,50,97.9,99.7,99.8
300,100,98.2,99.7,99.8
300,300,98.0,99.7,99.6
300,500,97.0,99.7,99.5
300,0,98.5,99.8,99.7
500,1,97.7,99.7,99.7
500,5,97.4,99.7,99.9
500,10,97.2,99.9,100.0
500,20,97.1,99.7,99.9
500,50,97.7,99.7,99.9
500,100,97.8,99.6,100.0
500,300,97.7,99.4,99.7
500,500,97.2,99.7,100.0
500,0,97.4,99.8,99.4
0,1,97.9,99.8,99.7
0,5,96.8,99.8,100.0
0,10,97.3,99.9,99.8
0,20,97.5,99.9,99.9
0,50,96.8,99.6,100.0
0,100,98.3,99.8,99.9
0,300,97.2,99.5,99.8
0,500,97.2,99.8,99.7
0,0,97.2,99.9,99.6
