circuit-depth,plain,ec,ec-ec
2,100.0,99.3,98.7
4,99.6,98.6,99.1
8,99.4,99.4,98.5
16,98.2,99.5,97.6
32,96.1,98.8,98.1
64,94.2,98.8,98.1
128,88.8,97.7,96.3
256,79.0,95.4,96.3
512,67.8,92.3,94.0
1024,56.6,88.1,88.4
2048,52.6,79.9,82.7
4096,47.9,67.0,71.9
