error-probability,plain,ec,ec-ec
0.001,96.9,100.0,100.0
0.005,89.4,99.4,99.8
0.01,81.3,99.3,99.6
0.05,54.1,91.1,94.5
0.1,51.6,77.2,78.7
0.5,49.6,50.4,50.6
1.0,48.7,52.2,51.0
5.0,51.1,49.8,50.9
10.0,49.1,46.4,51.0
